종류,紅,黃,藍,紫,白,粉,灰
레스토랑,,,,,,,
레스토랑 - 희귀,,,,x,x,x,x
카페,,,,,,,
디저트 가게 1 - 마카롱,,,,,,,
디저트 가게 2 - 도넛,,,,,,,
영화관,,,,,,,
약국,,,,,,,
동물원,,,,,,,
숲 1 - 사슴벌레,,,,,,,
숲 2 - 도토리,,,,,,,
물가,,,,,,,
물가 - 희귀,,,,,,,
우체국,,,,,,,
미술관,,,,,,,
공항,,,,,,,
역 1 - 종이 기차,,,,,,,
역 2 - 티켓,,,,,,,
해변,,,,,,,
햄버거 가게,,,,,,,
편의점 1 - 병뚜껑,,,,,,,
편의점 2 - 과자,,,,,,,
슈퍼마켓 1 - 버섯,,,,,,,
슈퍼마켓 2 - 바나나,,,,,,,
베이커리,,,,,,,
베이커리 - 희귀,,,,,,,
미용실,,,,,,,
미용실 - 희귀,,,,,,,
패션,,,,,,,
공원 1 - 클로버,,,,,,,
공원 2 - 네잎클로버,,,,,,,
도서관/서점,,,,,,,
길거리 1,,,,,,,
길거리 2,,,,,,,
길거리 3,,,,,,,
길거리 4 - 코인,,,,,,,
초밥집,,,,,,,
산,,,,,,,
스타디움,,,,x,x,x,x
비 오는 날 1 ,x,x,,x,x,x,x
비 오는 날 2,x,x,,x,x,x,x
비 오는 날 3,x,x,,x,x,x,x
눈 오는 날,x,x,,x,,x,x
테마파크1,,,,x,x,x,x
테마파크2,,,,x,x,x,x
버스 정류장,,,,,,,
이탈리안 레스토랑,,,,,,,
라멘 가게,,,,,,,
다리,,,,,,,
호텔,,,,,,,
화장품,,,,,,,
제단과 사찰,,,,,,,
전자제품 - 배터리1,x,,x,x,x,x,x
전자제품 - 배터리2,x,,x,x,x,x,x
전자제품 - 배터리3,x,,x,x,x,x,x
전자제품 - 배터리4,x,,x,x,x,x,x
전자제품 - 배터리5,x,,x,x,x,x,x
전자제품 - 배터리6,x,,x,x,x,x,x
전자제품 - 전구1,x,,x,x,x,x,x
전자제품 - 전구2,x,,x,x,x,x,x
카레 레스토랑,,,,,,,
공구점,,,,,,,
대학 패치,,,,x,x,x,x
멕시코 레스토랑,,,,,,,
마리오 모자,x,x,,x,x,x,x
잭 오 랜턴,,,,,,,
할로윈 간식,,,,,,,
할로윈 조명,,,,,,,
1주년 기념 간식,,,,,,,
손모아장갑,,,,,,,
2021가을의 추억 퍼즐,,,,,,,
가을 스티커,,,,,,,
겨울 스티커,,,,,,,
3주년 기념 케이크,,,,,,,
방울 장식,,,,,,,